SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.181281681,3063.63515,0.14007885,2005.05399,0.223420014,1928.09316,0.345839226,2792.078929,0.708545637,1113.474774,0.439111805,3109.177326,,,0.689084953,4305.045181,0.650235124,2562.658359,0.574287141,6371.300448,,,,,0.464215364,4623.255814
0.182701395,3110.685623,0.142207823,2081.512055,0.229826684,1963.349591,0.34868464,2827.356309,0.716375013,1166.369895,0.446222944,3220.900202,,,0.702874221,4475.737873,0.660842717,2698.338711,0.590459225,6421.524664,,,,,0.470781353,4613.953488
0.184832762,3163.614262,0.142918278,2099.154935,0.232673294,1986.862258,0.352953358,2874.390023,0.724205586,1207.500304,0.450489867,3285.580984,,,0.726173266,4418.718175,0.671462369,2947.854387,0.6109138,6457.399103,,,,,0.48325673,4581.395349
0.188385039,3251.82866,0.145050244,2146.201218,0.239078167,2039.765759,0.358645981,2927.297713,0.734172313,1254.500499,0.454758586,3332.614698,,,0.751590953,4361.6892,0.683633436,2842.722289,0.626137396,6457.399103,,,,,0.496388707,4702.325581
0.189096692,3257.706827,0.145756509,2205.020592,0.241922982,2080.925496,0.362204244,2956.688547,0.751262749,1289.694085,0.461170043,3320.812278,,,0.769608232,4444.797706,0.697937059,2868.929366,0.648018756,6500.44843,,,,,0.500984898,4702.325581
0.194075866,3322.38342,0.147173829,2275.600491,0.248327257,2139.711353,0.367188206,2974.306288,0.743426191,1307.387241,0.470432301,3291.346029,,,0.782860882,4549.818491,0.710135026,3017.737606,0.670853298,6514.798206,,,,,0.528562049,4679.069767
0.198343986,3375.29949,0.148594142,2316.768606,0.251174466,2157.341663,0.370036612,2980.171886,0.76051962,1313.169045,0.478980511,3279.531039,,,0.792390602,4510.372214,0.712768025,2873.242716,0.690358958,6507.623318,,,,,0.536441234,4720.930233
0.198338599,3428.240698,0.153567331,2440.268764,0.254729737,2216.144279,0.375734621,2980.138368,0.769772301,1377.8205,0.48610003,3308.900925,,,0.80035221,4667.95557,0.717525232,2781.27793,0.713670517,6500.44843,,,,,0.541037426,4706.976744
0.201895067,3475.278601,0.154987045,2487.319236,0.256150648,2251.430039,0.38285833,2968.331758,0.776893017,1395.425672,0.488952626,3273.590027,,,0.809350414,4610.998485,0.723868639,2663.036496,0.734600402,6543.497758,,,,,0.552856205,4744.186047
0.204739882,3516.438337,0.157120207,2522.600806,0.261839679,2339.631868,0.388559331,2938.886458,0.786150486,1413.018275,0.498926536,3250.001945,,,0.821536786,4650.349683,0.736572612,2588.550051,0.756483042,6565.022422,,,,,0.558765594,4739.534884
0.206163187,3528.194671,0.162095191,2628.453894,0.266107799,2392.547938,0.394259735,2915.323515,0.790419803,1454.169632,0.503903914,3332.325608,,,0.83158921,4545.226861,0.740808971,2579.774936,0.775986568,6593.721973,,,,,0.58305975,4762.790698
0.211856408,3575.220005,0.164224763,2699.029603,0.268952015,2439.590031,0.400670593,2909.403451,0.798250376,1495.30004,0.508170239,3402.888747,,,0.852263604,4711.511124,0.749328532,3004.431155,0.805955464,6636.7713,,,,,0.601444517,4730.232558
0.21256806,3581.098172,0.165645674,2734.315362,0.271082783,2498.401026,0.40565695,2903.491766,0.811067904,1524.636408,0.513149413,3467.56534,,,0.872387003,4676.396748,0.760988026,3070.054362,0.831166559,6686.995516,,,,,0.6112935,4804.651163
0.217549629,3622.245339,0.170625446,2793.109599,0.273925204,2563.090188,0.41206721,2903.454059,0.816056056,1501.077654,0.51741873,3508.716697,,,0.890401962,4737.613846,0.772086785,2842.335016,0.842108519,6686.995516,,,,,0.619172685,4809.302326
0.218260683,3634.005862,0.174181914,2840.147502,0.281042927,2610.107143,0.416340118,2909.311277,0.828164325,1501.006429,0.52383318,3467.502494,,,0.899395528,4636.873944,0.78164526,3074.342203,0.856857659,6665.470852,,,,,0.628365069,4804.651163
0.222529401,3681.039575,0.176315674,2869.546715,0.287448998,2651.245931,0.416338323,2926.958346,0.835999088,1500.960342,0.526685776,3432.191597,,,0.912644932,4711.246757,0.792233837,3030.513006,0.870178732,6658.295964,,,,,0.659881812,4860.465116
