SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,ManEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.176828291,8416.365931,0.196124089,8255.334961,0.302346033,5447.62289,0.190318333,5647.730045,0.439646124,4239.790902,0.294694985,10151.82113,0.692832676,-192.2899235,0.582960036,1649.785408,0.52792423,1373.390558,0.580412371,12199.17012,,,,,0.470013038,9728.219291
0.182015849,8523.962538,0.199827968,8362.911626,0.305312061,5474.544477,0.192533215,5862.813578,0.449288705,4266.802227,0.311010131,10259.5673,0.714348009,-232.3233196,0.590896424,1665.236052,0.5455011,1419.742489,0.606701031,12381.74274,,,,,0.482398957,9855.882912
0.183496868,8577.745885,0.205758694,8443.636501,0.310500283,5568.700232,0.19697428,6064.486173,0.465608504,4280.46244,0.325840934,10380.73438,0.729926634,-232.1139295,0.599962066,1666.95279,0.574386558,1385.407725,0.622164948,12547.71784,,,,,0.490873533,9855.792661
0.190165445,8739.125839,0.210205076,8537.782286,0.323844083,5757.051628,0.199191821,6225.806302,0.472283064,4320.874732,0.339930562,10488.45064,0.756631518,-204.8732724,0.631131807,1696.137339,0.58403093,1430.042918,0.643298969,12780.08299,,,,,0.509126467,9940.795293
0.196094841,8846.732417,0.217620145,8605.086252,0.329774809,5837.776503,0.202891711,6414.028074,0.483409988,4334.465148,0.35476203,10596.17687,0.776661178,-204.6040566,0.657764107,1708.154506,0.620862989,1447.2103,0.664948454,12730.29046,,,,,0.518252934,10047.19437
0.202765412,8967.789818,0.221328012,8632.017809,0.337190543,5891.639618,0.209551646,6750.139095,0.498244114,4388.427972,0.364404611,10623.18819,0.796690174,-190.8939894,0.671932789,1723.60515,0.641251809,1419.742489,0.682474227,12730.29046,,,,,0.525423729,9961.920987
0.210176493,9115.738891,0.226518228,8685.851011,0.350537003,6026.227608,0.213990052,7005.575095,0.513078241,4442.390796,0.377015214,10636.79855,0.819687191,-190.5848897,0.678163139,1716.738197,0.651466158,1476.39485,0.7,12796.6805,,,,,0.549543677,9993.613001
0.216108548,9169.582064,0.236154826,8833.829998,0.357210897,6080.080751,0.219910806,7287.912739,0.525688179,4469.442005,0.387401628,10623.49729,0.841943034,-203.7266123,0.692899367,1735.622318,0.668459434,1462.660944,0.754123711,13078.83817,,,,,0.55410691,9993.564404
0.220552271,9317.491254,0.240603203,8887.653229,0.366109645,6147.404659,0.225831561,7570.250384,0.546457684,4510.043746,0.399270392,10637.09768,0.869391752,-216.7985381,0.730863111,1747.639485,0.69111746,1445.493562,0.76443299,13045.64315,,,,,0.569100391,10131.84988
0.226483662,9384.775278,0.254688178,9089.455446,0.376491406,6228.18936,0.229529457,7798.794711,0.565003001,4523.733871,0.419296064,10718.012,0.882746188,-243.5007634,0.751267006,1773.390558,0.699626743,1483.261803,0.795360825,12912.86307,,,,,0.58083442,10206.27231
