SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.206046142,2585.058506,0.216388226,2678.667867,0.287191726,1872.187219,0.363564041,1836.183618,0.299920446,2027.0027,0.235481305,2145.814581,0.630867144,385.2385239,0.254756247,2894.423359,0.381427483,1539.601789,0.868661633,2652.165182,,,,,0.445394737,3184.09294
0.211614956,2595.859586,0.221161496,2736.273627,0.292760541,1864.986499,0.371519491,1832.583258,0.304693715,2016.20162,0.23786794,2171.017102,0.639618138,385.2385239,0.260483225,2800.007918,0.383140784,1477.883362,0.875910818,2615.933265,,,,,0.454605263,3187.220733
0.214001591,2624.662466,0.221161496,2761.476148,0.294351631,1854.185419,0.380270485,1832.583258,0.304693715,2012.60126,0.240254574,2192.619262,0.659506762,385.2385239,0.263921808,2760.055551,0.390008053,1329.013182,0.897647478,2535.350092,,,,,0.461184211,3202.859696
0.217183771,2649.864986,0.222752586,2797.479748,0.295942721,1846.984698,0.38743039,1836.183618,0.285600636,2001.80018,0.242641209,2214.221422,0.670644391,396.039604,0.273685384,2792.652548,0.399221018,1524.95356,0.918324079,2523.052783,,,,,0.474342105,3193.476318
0.224343675,2682.268227,0.224343675,2844.284428,0.301511535,1850.585059,0.399363564,1843.384338,0.270485282,1976.59766,0.249005569,2275.427543,0.681782021,399.639964,0.274274022,2894.281669,0.403835315,1677.370153,0.933828028,2522.865989,,,,,0.481578947,3218.49866
0.22991249,2718.271827,0.2283214,2858.685869,0.303102625,1861.386139,0.414478918,1854.185419,0.264120923,1951.39514,0.250596659,2289.828983,0.703261734,403.240324,0.277161994,3017.672682,0.411308933,1753.540944,0.947271009,2506.639768,,,,,0.488157895,3165.326184
0.23150358,2747.074707,0.23309467,2876.687669,0.307875895,1861.386139,0.424821002,1864.986499,0.252983294,1904.590459,0.252983294,2322.232223,0.713603819,403.240324,0.278899257,3122.923228,0.42278581,1724.419514,0.953481928,2482.468552,,,,,0.501315789,3193.476318
0.235481305,2761.476148,0.238663484,2898.289829,0.31185362,1854.185419,0.431980907,1872.187219,0.311058075,2023.40234,0.256961018,2390.639064,0.736674622,403.240324,0.281777853,3180.978556,0.425107544,1902.261099,0.961758484,2462.288514,,,,,0.514473684,3184.09294
0.240254574,2783.078308,0.242641209,2923.492349,0.3150358,1854.185419,0.439936356,1875.787579,0.317422434,2034.20342,0.259347653,2419.441944,0.740652347,403.240324,0.292098812,3097.419057,0.430837126,1825.99446,0.976230392,2458.098089,,,,,0.530263158,3262.287757
0.243436754,2801.080108,0.249005569,2970.29703,0.319013524,1857.785779,0.447891806,1879.387939,0.320604614,2045.0045,0.260938743,2430.243024,0.756563246,403.240324,0.30244217,3169.93925,0.434261645,1688.038565,0.981915173,2458.029598,,,,,0.534868421,3224.754245
0.246618934,2822.682268,0.249801114,3002.70027,0.323786794,1868.586859,0.4566428,1872.187219,0.326968974,2066.606661,0.264120923,2477.047705,0.778838504,403.240324,0.313902899,3028.295252,0.435966611,1568.243973,0.988631994,2461.964736,,,,,0.55,3252.904379
0.250596659,2844.284428,0.258552108,3017.10171,0.329355609,1882.988299,0.46300716,1872.187219,0.333333333,2077.407741,0.267303103,2523.852385,0.783611774,403.240324,0.321350992,2926.607789,0.439959973,1393.986308,0.998449605,2465.862516,,,,,0.555263158,3265.41555
0.255369928,2837.083708,0.264916468,3031.50315,0.335719968,1897.389739,0.472553699,1882.988299,0.339697693,2070.207021,0.268894193,2541.854185,0.810660302,403.240324,0.32538811,3057.249988,0.443959064,1259.656006,,,,,,,0.565789474,3246.648794
0.264120923,2826.282628,0.273667462,3049.50495,0.337311058,1904.590459,0.482895784,1904.590459,0.341288783,2070.207021,0.271280827,2567.056706,0.819411297,403.240324,0.329432001,3235.07907,0.449189086,1702.449255,,,,,,,0.579605263,3281.054513
0.266507558,2815.481548,0.280827367,3063.906391,0.339697693,1940.594059,0.486873508,1911.791179,0.343675418,2077.407741,0.273667462,2595.859586,0.8424821,403.240324,0.332885691,3300.389751,0.445712476,1477.429121,,,,,,,0.588157895,3290.437891
0.270485282,2808.280828,0.287191726,3067.506751,0.348448687,1962.19622,0.490851233,1918.991899,0.345266508,2081.008101,0.275258552,2621.062106,0.860779634,403.240324,0.346648879,3202.286207,0.452621418,1618.939764,,,,,,,0.596710526,3287.310098
0.276849642,2808.280828,0.293556086,3067.506751,0.353221957,1965.79658,0.499602228,1929.792979,0.351630867,2099.009901,0.276849642,2646.264626,0.893396977,417.6417642,0.355840486,3249.406413,0.455475531,1506.396359,,,,,,,0.608552632,3243.521001
0.282418457,2790.279028,0.299920446,3067.506751,0.359586317,1965.79658,0.503579952,1933.393339,0.356404137,2109.810981,0.278440732,2689.468947,0.903739061,417.6417642,0.365598853,3245.705808,0.462348009,1393.823782,,,,,,,0.634210526,3212.243074
0.287191726,2765.076508,0.304693715,3074.707471,0.363564041,1965.79658,0.506762132,1940.594059,0.357995227,2113.411341,0.280031822,2718.271827,0.918854415,424.8424842,0.375360345,3263.783765,0.466957617,1513.572532,,,,,,,0.642105263,3187.220733
0.288782816,2747.074707,0.31026253,3085.508551,0.365155131,1965.79658,0.515513126,1954.9955,0.361972951,2117.011701,0.283214002,2772.277228,0.941925219,428.4428443,0.378236337,3303.690291,0.470423809,1665.99746,,,,,,,0.658552632,3209.115282
0.290373906,2721.872187,0.316626889,3092.709271,0.373906126,1990.9991,0.523468576,1962.19622,0.365950676,2127.812781,0.285600636,2801.080108,0.953062848,428.4428443,0.386267337,3263.704585,0.479625835,1785.712872,,,,,,,0.670394737,3162.198391
0.295147176,2703.870387,0.318217979,3092.709271,0.378679395,1972.9973,0.525855211,1962.19622,0.369928401,2127.812781,0.287191726,2826.282628,0.963404932,428.4428443,0.392579828,3249.139703,0.483650451,1829.240824,,,,,,,0.678947368,3155.942806
0.299124901,2689.468947,0.321400159,3107.110711,0.38424821,1940.594059,0.533015115,1958.59586,0.375497216,2120.612061,0.292760541,2869.486949,0.978520286,428.4428443,0.398326601,3292.655153,0.489380555,1756.603945,,,,,,,0.683552632,3134.048257
0.30230708,2675.067507,0.324582339,3132.313231,0.39061257,1926.192619,0.540970565,1947.794779,0.38106603,2113.411341,0.297533811,2898.289829,0.992044551,421.2421242,0.406362811,3288.96705,0.499149861,1829.128305,,,,,,,0.691447368,3062.109026
0.306284805,2682.268227,0.327764519,3153.915392,0.396181384,1944.194419,0.5433572,1940.594059,0.38265712,2106.210621,0.298329356,2905.490549,0.99522673,421.2421242,0.414963176,3216.309334,0.510635594,1861.712801,,,,,,,0.7,3068.364611
