SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.063,53.99019033,0.063,44.143096,,,,,0.37425,118.64411,0.96125,-23.34704971,,
0.0635,42.6023336,0.0635,41.8688843,,,,,0.377244,115.91486,0.96894,27.04456711,,
0.064,30.32815822,0.064,46.27526898,,,,,0.380238,130.20126,0.97663,-23.84673691,,
0.0645,44.33448542,0.0645,41.24639228,,,,,0.383232,128.78955,0.98432,-6.279448032,,
0.065,42.61232188,0.065,41.55194035,,,,,0.386226,125.88662,1,-22.19871712,,
0.0655,53.50939552,0.0655,37.11679249,,,,,0.38922,130.12509,,,,
0.066,29.47120836,0.066,42.01303338,,,,,0.392214,130.97562,,,,
0.0665,45.58452915,0.0665,45.20216134,,,,,0.395208,132.3764,,,,
0.067,39.27666026,0.067,45.99158045,,,,,0.398202,120.0656,,,,
0.0675,32.56943072,0.0675,38.37225094,,,,,0.401196,131.98534,,,,
0.068,38.69524557,0.068,40.82997352,,,,,0.40419,126.699005,,,,
0.0685,42.9944703,0.0685,40.69821212,,,,,0.407184,126.70858,,,,
0.069,48.21169762,0.069,40.29174967,,,,,0.410178,123.70347,,,,
0.0695,64.24234936,0.0695,37.64418133,,,,,0.413172,130.24486,,,,
0.07,70.23434729,0.07,38.8311944,,,,,0.416166,113.867905,,,,
0.0705,55.85160107,0.0705,46.30081806,,,,,0.41916,105.9768,,,,
0.071,59.50185215,0.071,42.65106403,,,,,0.422154,130.79488,,,,
0.0715,32.83468105,0.0715,41.07138458,,,,,0.425148,126.78209,,,,
0.072,46.49859627,0.072,44.75714018,,,,,0.428142,125.7862,,,,
0.0725,58.75998654,0.0725,39.91255628,,,,,0.431136,113.13384,,,,
0.073,81.04383843,0.073,44.59588121,,,,,0.43413,123.16961,,,,
0.0735,50.79716963,0.0735,45.09407259,,,,,0.437124,130.67563,,,,
0.074,35.76398816,0.074,53.51814807,,,,,0.440118,126.8058,,,,
0.0745,47.53986191,0.0745,40.10120001,,,,,0.443112,127.59883,,,,
0.075,57.84978244,0.075,38.46622928,,,,,0.446106,136.68437,,,,
0.0755,49.7915163,0.0755,42.20156063,,,,,0.4491,109.07159,,,,
0.076,70.16177176,0.076,44.18232812,,,,,0.452094,111.988235,,,,
0.0765,73.88661044,0.0765,43.45706584,,,,,0.455088,130.30832,,,,
0.077,45.36593295,0.077,43.4843617,,,,,0.458082,124.345245,,,,
0.0775,34.63298913,0.0775,43.04059834,,,,,0.461076,108.65297,,,,
0.078,62.67155306,0.078,46.00109498,,,,,0.46407,132.31865,,,,
0.0785,69.05388107,0.0785,42.05943285,,,,,0.467064,127.047676,,,,
0.079,51.84773177,0.079,44.11396552,,,,,0.470058,128.05174,,,,
0.0795,97.37918039,0.0795,42.37612878,,,,,0.473052,122.75713,,,,
0.08,27.15786463,0.08,45.05344893,,,,,0.476046,130.11389,,,,
0.0805,51.70718978,0.0805,40.63092372,,,,,0.47904,126.51739,,,,
0.081,39.81280531,0.081,42.72891576,,,,,0.482034,109.70271,,,,
0.0815,108.0963781,0.0815,38.19909842,,,,,0.485028,129.90671,,,,
0.082,26.2693745,0.082,40.19649098,,,,,0.488022,126.85455,,,,
0.0825,42.73947041,0.0825,38.52969631,,,,,0.491016,60.390095,,,,
0.083,87.98772656,0.083,45.81809694,,,,,0.49401,125.21227,,,,
0.0835,46.34701587,0.0835,42.51619099,,,,,0.497004,130.51541,,,,
0.084,73.34560689,0.084,44.76663768,,,,,0.499998,128.92311,,,,
0.0845,60.72113461,0.0845,45.45900688,,,,,0.502992,121.40903,,,,
0.085,64.12176175,0.085,49.15316416,,,,,0.505986,133.51657,,,,
0.0855,64.97185795,0.0855,55.16742835,,,,,0.50898,121.198456,,,,
0.086,54.28989372,0.086,50.50822195,,,,,0.511974,89.95454,,,,
0.0865,70.76794152,0.0865,46.83004645,,,,,0.514968,132.90881,,,,
0.087,40.89283492,0.087,47.1511366,,,,,0.517962,133.57991,,,,
0.0875,72.76468113,0.0875,43.11591366,,,,,0.520956,128.69646,,,,
0.088,74.98745098,0.088,41.32677384,,,,,0.52395,127.41735,,,,
0.0885,69.97099888,0.0885,41.63636266,,,,,0.526944,112.56358,,,,
0.089,53.87986878,0.089,41.67759454,,,,,0.529938,127.032265,,,,
