SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.057,6118.208816,0.057,6491.32493,0.688477362,12872.16767,0.914751633,12606.39178,0.95256483,13023.56669,,,,
0.0575,6090.148712,0.0575,6306.862252,0.693666248,12952.88257,0.922913195,12579.61976,,,,,,
0.058,6161.790936,0.058,6632.016778,0.698855799,13020.15662,0.93107808,12485.64348,,,,,,
0.0585,6154.30364,0.0585,6257.880678,0.705529694,13074.00977,0.938498467,12445.42064,,,,,,
0.059,6278.921679,0.059,6465.560394,0.707753882,13100.92138,0.948143042,12432.10941,,,,,,
0.0595,6317.372364,0.0595,6547.113721,0.716655289,13114.48189,0.956303939,12418.77824,,,,,,
0.06,6166.694269,0.06,6848.087122,0.721106324,13114.54171,0.972624403,12418.9976,,,,,,
0.0605,6300.302438,0.0605,6672.139935,0.732232584,13141.57298,0.982268313,12419.12722,,,,,,
0.061,6213.784431,0.061,6712.749939,0.737423465,13181.96533,0.988202363,12432.64784,,,,,,
0.0615,6294.539011,0.0615,6627.658479,0.746323542,13222.40753,0.99116972,12432.68772,,,,,,
0.062,6288.939921,0.062,6955.938998,0.752256926,13249.369,0.999329952,12432.79741,,,,,,
0.0625,6342.282952,0.0625,7071.260205,0.75893215,13276.34045,,,,,,,,
0.063,6364.179706,0.063,6906.11345,0.764866864,13276.42021,,,,,,,,
0.0635,6362.577968,0.0635,7024.932154,0.768575396,13289.91092,,,,,,,,
0.064,6415.199426,0.064,6906.204907,0.773026432,13289.97075,,,,,,,,
0.0645,6390.169071,0.0645,6839.349159,0.776735628,13290.0206,,,,,,,,
0.065,6521.666939,0.065,6744.059302,0.779702985,13290.06048,,,,,,,,
0.0655,6434.885879,0.0655,7249.312101,0.787859893,13357.37442,,,,,,,,
0.066,6466.083278,0.066,7050.599051,0.796020125,13357.4841,,,,,,,,
0.0665,6500.585307,0.0665,7317.54861,0.80714572,13397.95622,,,,,,,,
0.067,6566.200064,0.067,7263.804719,0.815305287,13411.50675,,,,,,,,
0.0675,6518.36233,0.0675,7376.07702,0.8242047,13465.38981,,,,,,,,
0.068,6503.236507,0.068,7217.47752,0.828655735,13465.44963,,,,,,,,
0.0685,6620.352104,0.0685,7222.196411,0.836818626,13411.79591,,,,,,,,
0.069,6532.702828,0.069,7289.869055,0.847946215,13411.94547,,,,,,,,
0.0695,6599.051788,0.0695,7420.040679,0.856844298,13492.71023,,,,,,,,
0.07,6639.318713,0.07,7416.840177,0.868709073,13586.95573,,,,,,,,
0.0705,6650.249377,0.0705,7451.696561,0.87241827,13587.00558,,,,,,,,
0.071,6642.016854,0.071,7385.695646,0.879094158,13600.53617,,,,,,,,
0.0715,6549.259025,0.0715,7679.621159,0.886511886,13614.07673,,,,,,,,
0.072,6662.120455,0.072,7435.630567,0.895413293,13627.63724,,,,,,,,
0.0725,6702.118702,0.0725,7467.681822,0.902831686,13627.73694,,,,,,,,
0.073,6547.346524,0.073,7528.039499,0.91395861,13641.32736,,,,,,,,
0.0735,6689.018711,0.0735,7594.544234,0.920632504,13695.1805,,,,,,,,
0.074,6720.851359,0.074,7512.069203,0.926565224,13735.58283,,,,,,,,
0.0745,6791.185477,0.0745,7448.954452,0.936207141,13776.035,,,,,,,,
0.075,6650.203889,0.075,7391.337951,0.940657512,13789.53568,,,,,,,,
0.0755,6721.397755,0.0755,7551.945868,0.942883029,13789.56559,,,,,,,,
0.076,6794.762862,0.076,7332.873568,0.953266785,13830.02774,,,,,,,,
0.0765,6723.577285,0.0765,7487.027653,0.959199505,13870.43006,,,,,,,,
0.077,6853.091888,0.077,7118.092534,0.965134219,13870.50983,,,,,,,,
0.0775,6829.927272,0.0775,6900.433754,0.974777465,13884.0803,,,,,,,,
0.078,6858.481135,0.078,7562.934819,0.981454018,13884.17004,,,,,,,,
0.0785,6828.941094,0.0785,7802.726253,0.987388732,13884.24981,,,,,,,,
0.079,6792.137644,0.079,7488.387665,0.993323447,13884.32958,,,,,,,,
0.0795,6797.907647,0.0795,7693.985504,0.998515657,13897.84022,,,,,,,,
0.08,6785.339216,0.08,7702.855667,,,,,,,,,,
0.0805,6794.713413,0.0805,7429.820414,,,,,,,,,,
0.081,6840.638708,0.081,7390.954504,,,,,,,,,,
0.0815,6879.583218,0.0815,2362.720938,,,,,,,,,,
0.082,6878.79805,0.082,7608.929404,,,,,,,,,,
0.0825,6820.306927,0.0825,7504.515448,,,,,,,,,,
0.083,6882.198074,0.083,8062.151305,,,,,,,,,,
0.0835,6995.168511,0.0835,7764.061693,,,,,,,,,,
0.084,6890.284206,0.084,7953.705635,,,,,,,,,,
0.0845,6962.469379,0.0845,7840.436936,,,,,,,,,,
0.085,6922.299553,0.085,3323.549242,,,,,,,,,,
0.0855,6852.855301,0.0855,7612.828671,,,,,,,,,,
0.086,6899.099778,0.086,7880.942412,,,,,,,,,,
0.0865,6965.656707,0.0865,7855.570149,,,,,,,,,,
0.087,6916.615352,0.087,7764.380535,,,,,,,,,,
0.0875,6897.756252,0.0875,7686.494229,,,,,,,,,,
0.088,6887.310129,0.088,7735.74926,,,,,,,,,,
0.0885,6882.429636,0.0885,7990.661557,,,,,,,,,,
0.089,7043.949774,0.089,7584.347387,,,,,,,,,,
0.0895,6824.347624,0.0895,7955.91909,,,,,,,,,,
0.09,6927.992813,0.09,7910.377662,,,,,,,,,,
0.0905,7004.95446,0.0905,8054.192364,,,,,,,,,,
0.091,7059.088027,0.091,7664.142133,,,,,,,,,,
0.0915,7169.769865,0.0915,8068.627942,,,,,,,,,,
0.092,6950.324438,0.092,7834.389315,,,,,,,,,,
0.0925,7062.803064,0.0925,7992.193672,,,,,,,,,,
0.093,7030.049519,0.093,8112.714253,,,,,,,,,,
0.0935,7113.070651,0.0935,7850.310216,,,,,,,,,,
0.094,7167.619966,0.094,8200.242241,,,,,,,,,,
0.0945,7120.470858,0.0945,8378.115937,,,,,,,,,,
0.095,7081.974741,0.095,7764.682529,,,,,,,,,,
0.0955,7109.540423,0.0955,7867.190448,,,,,,,,,,
0.096,7130.784044,0.096,7943.935495,,,,,,,,,,
0.0965,7128.193989,0.0965,8214.140579,,,,,,,,,,
0.097,7102.662669,0.097,7941.646467,,,,,,,,,,
0.0975,7116.415882,0.0975,8239.06484,,,,,,,,,,
0.098,7245.502402,0.098,7924.769525,,,,,,,,,,
0.0985,7029.956344,0.0985,7846.845279,,,,,,,,,,
0.099,7279.201163,0.099,8088.261989,,,,,,,,,,
0.0995,7219.404999,0.0995,8072.652985,,,,,,,,,,
0.1,7257.223956,0.1,8439.293733,,,,,,,,,,
0.1005,7173.787403,0.1005,8158.093413,,,,,,,,,,
0.101,7295.016034,0.101,8367.234184,,,,,,,,,,
0.1015,7249.043414,0.1015,8401.953265,,,,,,,,,,
0.102,7382.584971,0.102,8734.525034,,,,,,,,,,
0.1025,7323.395152,0.1025,8575.326153,,,,,,,,,,
0.103,7155.406095,0.103,8731.809601,,,,,,,,,,
0.1035,7269.660582,0.1035,8382.95907,,,,,,,,,,
0.104,7290.241473,0.104,8846.998241,,,,,,,,,,
0.1045,7371.866759,0.1045,8443.439927,,,,,,,,,,
0.105,7276.944707,0.105,8918.703451,,,,,,,,,,
0.1055,7395.630359,0.1055,8844.512816,,,,,,,,,,
0.106,7395.799106,0.106,8642.870644,,,,,,,,,,
0.1065,7434.678922,0.1065,8936.003008,,,,,,,,,,
0.107,7429.537333,0.107,8921.758626,,,,,,,,,,
0.1075,7544.060184,0.1075,8703.401734,,,,,,,,,,
0.108,7518.512617,0.108,8424.365944,,,,,,,,,,
0.1085,7437.712924,0.1085,8904.817214,,,,,,,,,,
0.109,7431.850698,0.109,8811.951975,,,,,,,,,,
0.1095,7583.276837,0.1095,8636.594513,,,,,,,,,,
0.11,7594.755613,0.11,8926.657008,,,,,,,,,,
0.1105,7521.83711,0.1105,8867.149433,,,,,,,,,,
0.111,7588.656748,0.111,8530.944959,,,,,,,,,,
0.1115,7570.379927,0.1115,8980.631121,,,,,,,,,,
0.112,7694.193336,0.112,8621.317466,,,,,,,,,,
0.1125,7666.574767,0.1125,8719.440079,,,,,,,,,,
0.113,7719.875216,0.113,8924.7123,,,,,,,,,,
0.1135,7774.958532,0.1135,9057.600136,,,,,,,,,,
0.114,7789.432367,0.114,8779.557749,,,,,,,,,,
0.1145,7788.59345,0.1145,8556.939794,,,,,,,,,,
0.115,7787.05713,0.115,8736.704011,,,,,,,,,,
0.1155,7681.341027,0.1155,8766.042135,,,,,,,,,,
0.116,7715.133391,0.116,8999.43812,,,,,,,,,,
0.1165,7880.727247,0.1165,9122.105314,,,,,,,,,,
0.117,7939.396074,0.117,8712.438087,,,,,,,,,,
0.1175,7734.041185,0.1175,8862.25734,,,,,,,,,,
0.118,7870.454846,0.118,8794.67567,,,,,,,,,,
0.1185,7842.888036,0.1185,8768.608315,,,,,,,,,,
0.119,7862.175288,0.119,9029.190006,,,,,,,,,,
0.1195,7995.180268,0.1195,8631.808707,,,,,,,,,,
0.12,7975.004614,0.12,8737.981851,,,,,,,,,,
0.1205,8079.870352,0.1205,9086.1369,,,,,,,,,,
0.121,8083.201859,0.121,8976.994128,,,,,,,,,,
0.1215,8103.338708,0.1215,9039.709603,,,,,,,,,,
0.122,8116.662253,0.122,8859.943067,,,,,,,,,,
0.1225,8062.770533,0.1225,9049.995795,,,,,,,,,,
0.123,8165.48384,0.123,9045.503408,,,,,,,,,,
0.1235,8190.052285,0.1235,9118.61995,,,,,,,,,,
