SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.098,108.1763706,0.098,391.2559884,,,,,,,,,,
0.0985,3858.057633,0.0985,574.742252,,,,,,,,,,
0.099,4892.40391,0.099,461.5686883,,,,,,,,,,
0.0995,2254.342424,0.0995,551.2433708,,,,,,,,,,
0.1,202.8339509,0.1,531.9815261,,,,,,,,,,
0.1005,730.7284902,0.1005,627.3745476,,,,,,,,,,
0.101,742.6610231,0.101,414.8983034,,,,,,,,,,
0.1015,1774.824922,0.1015,503.3895074,,,,,,,,,,
0.102,944.3444125,0.102,447.0307936,,,,,,,,,,
0.1025,1872.836483,0.1025,154.4936849,,,,,,,,,,
0.103,1971.027177,0.103,787.1333799,,,,,,,,,,
0.1035,2192.619464,0.1035,1036.443573,,,,,,,,,,
0.104,1527.738487,0.104,347.1529594,,,,,,,,,,
0.1045,873.0036568,0.1045,394.6683913,,,,,,,,,,
0.105,597.746957,0.105,466.6918014,,,,,,,,,,
0.1055,4297.549325,0.1055,2019.159054,,,,,,,,,,
0.106,1112.074654,0.106,621.9438765,,,,,,,,,,
0.1065,161.0659793,0.1065,496.0385024,,,,,,,,,,
0.107,964.3502327,0.107,948.5463025,,,,,,,,,,
0.1075,201.7407098,0.1075,574.7978064,,,,,,,,,,
0.108,241.4924135,0.108,809.868783,,,,,,,,,,
0.1085,1559.893524,0.1085,550.8436479,,,,,,,,,,
0.109,3991.56625,0.109,693.3561868,,,,,,,,,,
0.1095,988.0850266,0.1095,4926.571887,,,,,,,,,,
0.11,1034.680878,0.11,568.6453027,,,,,,,,,,
0.1105,7098.258842,0.1105,521.0929013,,,,,,,,,,
0.111,7415.591038,0.111,770.9536675,,,,,,,,,,
0.1115,3009.000597,0.1115,1013.220816,,,,,,,,,,
0.112,5258.881049,0.112,601.3683271,,,,,,,,,,
0.1125,6927.634651,0.1125,727.2620765,,,,,,,,,,
0.113,5579.542018,0.113,4927.415378,,,,,,,,,,
0.1135,5112.694113,0.1135,890.6866043,,,,,,,,,,
0.114,1290.069887,0.114,1269.795292,,,,,,,,,,
0.1145,5398.300359,0.1145,545.7641314,,,,,,,,,,
0.115,7271.789522,0.115,1433.954122,,,,,,,,,,
0.1155,7054.275748,0.1155,618.7921412,,,,,,,,,,
0.116,2996.063531,0.116,847.043468,,,,,,,,,,
0.1165,5854.670287,0.1165,2948.777653,,,,,,,,,,
0.117,3351.120661,0.117,708.3038166,,,,,,,,,,
0.1175,189.0397315,0.1175,3613.945316,,,,,,,,,,
0.118,7455.12794,0.118,1310.000652,,,,,,,,,,
0.1185,1391.02033,0.1185,973.178863,,,,,,,,,,
0.119,7302.879582,0.119,2913.876366,,,,,,,,,,
0.1195,3290.090819,0.1195,754.9602382,,,,,,,,,,
0.12,4047.746643,0.12,5065.85655,,,,,,,,,,
0.1205,254.1841633,0.1205,3359.935499,,,,,,,,,,
0.121,7602.116387,0.121,553.9922605,,,,,,,,,,
0.1215,7549.8701,0.1215,3547.697193,,,,,,,,,,
0.122,7773.985186,0.122,2710.068062,,,,,,,,,,
0.1225,3964.628471,0.1225,4785.578122,,,,,,,,,,
0.123,7612.866737,0.123,324.719318,,,,,,,,,,
0.1235,133.7083714,0.1235,1323.080314,,,,,,,,,,
0.124,7627.72783,0.124,4896.329677,,,,,,,,,,
0.1245,1834.987801,0.1245,3800.886291,,,,,,,,,,
0.125,181.8744595,0.125,1035.73176,,,,,,,,,,
0.1255,4203.898304,0.1255,913.2526456,,,,,,,,,,
0.126,7717.939465,0.126,860.6457392,,,,,,,,,,
0.1265,1807.717047,0.1265,1212.710093,,,,,,,,,,
0.127,137.5846475,0.127,1455.035597,,,,,,,,,,
0.1275,6870.01451,0.1275,828.0975279,,,,,,,,,,
0.128,207.8891243,0.128,5345.233771,,,,,,,,,,
0.1285,2753.959238,0.1285,1389.283374,,,,,,,,,,
0.129,844.4682375,0.129,1229.084672,,,,,,,,,,
0.1295,7870.468317,0.1295,1367.758353,,,,,,,,,,
0.13,1847.354366,0.13,2611.72184,,,,,,,,,,
0.1305,4699.494348,0.1305,2688.740559,,,,,,,,,,
0.131,748.5566606,0.131,5146.281232,,,,,,,,,,
0.1315,3118.766424,0.1315,5137.923468,,,,,,,,,,
0.132,2538.188749,0.132,3830.658387,,,,,,,,,,
0.1325,1316.557276,0.1325,1621.353108,,,,,,,,,,
0.133,7991.358772,0.133,493.810586,,,,,,,,,,
0.1335,1899.828903,0.1335,769.3976402,,,,,,,,,,
0.134,2110.068234,0.134,1648.517187,,,,,,,,,,
0.1345,879.4211569,0.1345,957.8383389,,,,,,,,,,
0.135,1157.076715,0.135,882.773797,,,,,,,,,,
